date,portfolio_value,daily_return,cash,turnover,cost_drag,regime_label,z_mu_0,drawdown,alloc_pct
2020-01-02,103038.6948676968,0.00916426368056678,-6.684219287313454,0.2957583467508923,6.695744636401421e-05,neutral,-0.6924230456352234,-0.03164306646888411,100
2020-01-03,102536.49232500051,-0.00487392181491748,-6.684219287313454,0.0,0.0,neutral,-0.6432199478149414,-0.022768788193099875,100
2020-01-06,102825.8349352062,0.0028218500910738714,-7.026474258162756,0.27209198864216866,6.83610570035372e-05,bull_low_vol,-0.6148426532745361,-0.027531736714543776,100
2020-01-07,103012.44156716943,0.0018147835325704798,277.0756471728773,0.051504324784055235,1.111443283588874e-05,bull_low_vol,-0.5960845947265625,-0.024787577057225257,100
2020-01-08,102193.44423839852,-0.00795047002392313,547.9266671846563,0.11171513734363729,2.57276099683628e-05,bull_low_vol,-0.6015146970748901,-0.02301777761131055,100
2020-01-09,102042.99057140078,-0.0014722438226737703,15.351958757094508,0.34091913704801613,7.678866382246557e-05,bull_low_vol,-0.6597040295600891,-0.030785245484317634,70
2020-01-10,101925.63645930299,-0.001150045793842895,25.364879326366463,0.30137093049836156,6.612753000588194e-05,bull_low_vol,-0.7031598091125488,-0.032212165919497625,100
2020-01-13,102383.7764724661,0.004494845743210398,-1.2959366663449028,0.06390122665890327,1.3811015393397022e-05,neutral,-0.7506805062294006,-0.03332516624741423,100
2020-01-14,102460.29714643102,0.0007473906179413865,1132.2285124630826,0.10006223973578589,2.1669617699830107e-05,neutral,-0.7827824354171753,-0.0289801119858528,100
2020-01-15,102323.30546514655,-0.00133702209636083,-631.283487108768,0.12244949053382537,2.8352788840269065e-05,neutral,-0.8053092360496521,-0.02825438083171653,100
2020-01-16,103141.61761503149,0.007997319341522535,40.17971264258631,0.12714749445160958,2.9376772074541877e-05,neutral,-0.8281676769256592,-0.02955362619658636,100
2020-01-17,103528.13499889891,0.003747443493760889,477.5792916897435,0.10448689439418984,2.4716090300584947e-05,neutral,-0.8584173321723938,-0.021792656641457905,100
2020-01-21,103552.61544845508,0.00023646180389929437,477.5792916897435,0.0,0.0,neutral,-0.8363693952560425,-0.01812687989703981,100
2020-01-22,103259.28465097475,-0.0028326739620240845,477.5792916897435,0.0,0.0,neutral,-0.8151473999023438,-0.017894704407860035,100
2020-01-23,103100.0471263621,-0.0015421133813863133,1200.3484593499234,0.1227844409337909,2.9086962021785353e-05,neutral,-0.7939850687980652,-0.02067668850664986,100
2020-01-24,102860.43017224589,-0.0023241207040626075,-1267.0410045092026,0.09444953913062741,2.0221705490300394e-05,neutral,-0.6821730136871338,-0.02218691609000731,100
2020-01-27,101323.98366710244,-0.014937196962627712,781.1344385612174,0.18933817557274676,4.511128674799102e-05,neutral,-0.3740772604942322,-0.024459471723025837,100
2020-01-28,102070.99126454166,0.00737246573223472,119.0131495468222,0.37377760347465117,8.932116776755998e-05,neutral,-0.2523461580276489,-0.039031312738924906,70
