date,daily_return
2019-07-01,0.0002011763995222013
2019-07-02,0.004864619385521668
2019-07-03,-0.0031502278777401902
2019-07-05,-0.0033341435417719115
2019-07-08,0.0022447051102494086
2019-07-09,0.005910007627680912
2019-07-10,-0.00032724465474066666
2019-07-11,0.003802610979386879
2019-07-12,0.001125253818975732
2019-07-15,-0.0017726252851289594
2019-07-16,-0.0005228834792628193
2019-07-17,0.0023377505166436077
2019-07-18,-0.004025288531164107
2019-07-19,0.0033957935743346855
2019-07-22,0.0029341639942788555
2019-07-23,0.0038153848869577184
2019-07-24,-0.003272782928857707
2019-07-25,0.005510101659005376
2019-07-26,-0.00024718204899731795
2019-07-29,-0.0005728104724049729
2019-07-30,-0.007654998917029599
2019-07-31,-0.0032097228091611508
2019-08-01,-0.005252367404131018
2019-08-02,-0.014940456553217539
2019-08-05,0.007213611598585977
2019-08-06,0.004801019953802148
2019-08-07,0.009450492668269028
2019-08-08,-0.003843839626172136
2019-08-09,-0.004865238713208231
2019-08-12,0.009203002429790448
2019-08-13,-0.013865144020564745
2019-08-14,0.0012220713573311238
2019-08-15,0.0062001859240534965
2019-08-16,0.004878533210448908
2019-08-19,-0.0008548369631013836
2019-08-20,0.0040118166363727085
2019-08-21,-0.0014707620653163184
2019-08-22,-0.010664526878706676
2019-08-23,0.0073404691004867895
2019-08-26,0.0033875828671661896
2019-08-27,0.0040474963059307315
2019-08-28,0.005858905172285236
2019-08-29,-0.0010078229885155635
2019-08-30,2.3348120849802446e-05
2019-09-03,0.01102838270009212
2019-09-04,0.0015205150642852011
2019-09-05,-0.0029479683237927435
2019-09-06,-0.0006256041120315518
2019-09-09,-0.0005697430234380682
2019-09-10,0.0033429846472199888
2019-09-11,0.0010279095042255507
2019-09-12,-0.005883063273094672
2019-09-13,0.004562016401738042
2019-09-16,0.000879572709690847
2019-09-17,-0.002251608406915179
2019-09-18,0.0012834175640187404
2019-09-19,-0.0017021895312339561
2019-09-20,0.004508922432691669
2019-09-23,-0.005756116980802396
2019-09-24,-0.00129931042735011
2019-09-25,-0.0017072311573114477
2019-09-26,-0.006219819075625213
2019-09-27,-0.00016107731568995218
2019-09-30,-0.0032220502674137493
2019-10-01,-0.006991561682862186
2019-10-02,0.004752100470484373
2019-10-03,0.007286931269531347
2019-10-04,-0.002434632069418608
2019-10-07,-0.0055432211079446975
2019-10-08,0.004496985391849026
2019-10-09,0.0015484156884490797
2019-10-10,0.0060006252355779026
2019-10-11,-8.809967525302275e-05
2019-10-14,0.003782467698785683
2019-10-15,-0.0005168080930097308
2019-10-16,0.002799704119433614
2019-10-17,-0.0034407001331204085
2019-10-18,0.002742505827490381
2019-10-21,-0.0031190986891014533
2019-10-22,0.002643452510611321
2019-10-23,0.0026396210688359643
2019-10-24,0.004573933935492046
2019-10-25,0.001891571762967896
2019-10-28,-0.002424879553180094
2019-10-29,0.002334063695353982
2019-10-30,0.0006703717485772997
2019-10-31,0.005254394104041049
2019-11-01,0.0014295746494663137
2019-11-04,-0.0029349437791178273
2019-11-05,-0.0007222164515803111
2019-11-06,-0.00178584796191562
2019-11-07,-0.00028658820767170297
2019-11-08,-0.0010993763165113766
2019-11-11,0.0011891790815929777
2019-11-12,0.0012526803390851718
2019-11-13,0.0012039475329410348
2019-11-14,0.003823137285214839
2019-11-15,0.0006227036867880325
2019-11-18,0.00015646633066839158
2019-11-19,-0.0009613099118642143
2019-11-20,-0.0005137536070695437
2019-11-21,0.0002518030804295938
2019-11-22,0.0032507939648919455
2019-11-25,0.003374317344384556
2019-11-26,0.0014217247462284274
2019-11-27,-0.0026873663122375245
2019-11-29,-0.00573768311734137
2019-12-02,-0.0003316788405537464
2019-12-03,0.0014783356742816755
2019-12-04,0.0019256929435665722
2019-12-05,0.0017469583649624475
2019-12-06,-0.0015495051268584602
2019-12-09,0.0004047825224495122
2019-12-10,0.0033211751332465995
2019-12-11,0.0036865554116652455
2019-12-12,0.0013208610328400167
2019-12-13,0.004647572282148874
2019-12-16,0.00012836909424057626
2019-12-17,0.000984201567619285
2019-12-18,0.003407587856377834
2019-12-19,0.0025767543243549866
2019-12-20,0.001868188929414524
2019-12-23,0.002540373238520405
2019-12-24,0.004453824160037143
2019-12-26,-0.0009241271382163768
2019-12-27,-0.0024718673768217396
2019-12-30,-7.900639392562561e-05
2019-12-31,-3.5483935789670795e-12
2020-01-02,0.000809208178269473
2020-01-03,0.0010767457762158787
2020-01-06,-0.0006992252792824271
2020-01-07,-0.0027516812050877673
2020-01-08,-0.0007298398780878466
2020-01-09,-0.0013196268838006307
2020-01-10,-0.0004935478050241751
2020-01-13,-0.00019262983125072506
2020-01-14,0.0012507652617901699
2020-01-15,0.0027057434039621862
2020-01-16,0.0019410492073123641
2020-01-17,-0.0012627470557847714
2020-01-21,-0.001234467127490528
2020-01-22,-0.00026312028905878135
2020-01-23,-0.0011200442185070193
2020-01-24,-0.002534321681037868
2020-01-27,0.0007824762667242236
2020-01-28,0.00023291238500235497
2020-01-29,0.0008530235729185061
2020-01-30,-0.0007463711461833383
2020-01-31,-0.002173327595838178
2020-02-03,0.0011509013619674568
2020-02-04,0.004541229218399472
2020-02-05,0.0010321076750091196
2020-02-06,-0.002512707619590284
2020-02-07,0.0015470055351873592
2020-02-10,0.0019317220008735435
2020-02-11,0.001931021677249735
2020-02-12,0.0019703031871922123
2020-02-13,0.0011532918820798036
2020-02-14,0.00207283151881643
2020-02-18,0.0024561231686948803
2020-02-19,0.0016968319189497847
2020-02-20,-9.831307398344181e-05
2020-02-21,-0.005573627126828289
2020-02-24,-0.012429243732027452
2020-02-25,-0.004636036045561996
2020-02-26,-0.013981324807715806
